18,46514,0.546875
413,93469,0.53125
525,2663,0.5
588,89763,0.5
1371,26992,0.5625
1622,42293,0.5
1622,90915,0.5625
1939,24652,0.5
2087,95703,0.515625
2389,89005,0.53125
2389,93574,0.5
2389,102648,0.546875
2511,58272,0.515625
2663,23450,0.625
2837,8728,0.5
2837,76234,0.53125
2837,84189,0.515625
2848,91715,0.515625
2913,65685,0.53125
3310,26721,0.5
3578,84942,0.5
3610,69339,0.5
3821,46364,0.5625
3841,102789,0.5625
4273,16279,0.5
4348,74264,0.5
4450,82314,0.515625
4476,56207,0.515625
4600,48907,0.5
4655,44595,0.5
4885,54719,0.5
4930,11683,0.5625
5352,35443,0.5
5491,9243,0.5
5663,8191,0.515625
5663,71147,0.5
5680,77137,0.53125
5680,95931,0.53125
5776,30868,0.5
5806,19842,0.5
5832,97718,0.515625
5902,14957,0.5
5929,11303,0.5
5961,81217,0.546875
5992,35888,0.5625
5992,56347,0.5
6104,73690,0.546875
6135,77751,0.5625
6277,42616,0.5
6313,26581,0.5
6435,91275,0.5625
6464,28735,0.515625
6499,97343,0.515625
6650,75394,0.5
6656,68048,0.5
6727,101508,0.53125
6812,12164,0.5
6812,68191,0.5
6825,7040,0.5
6825,66087,0.515625
6886,49107,0.5
6886,66310,0.59375
6951,63157,0.53125
6951,72624,0.546875
7024,33915,0.515625
7131,75217,0.515625
7279,87611,0.5
7281,74097,0.5
7281,83686,0.5
7432,84065,0.53125
7599,75836,0.5
7655,60624,0.515625
7773,70690,0.5
7787,51845,0.5
7919,11217,0.515625
8148,42055,0.515625
8295,14936,0.515625
8323,72577,0.5
8369,37611,0.5625
8415,89022,0.546875
8428,17900,0.5
8457,8769,0.5
8592,26357,0.5
8592,52691,0.5
8592,74253,0.5
8728,25260,0.515625
8743,89756,0.546875
8798,60850,0.5
8810,103607,0.5
8862,13157,0.515625
9117,52957,0.515625
9163,49710,0.546875
9243,74092,0.515625
9406,19234,0.546875
9406,65297,0.5
9406,79826,0.5
9431,50927,0.5625
9467,37704,0.5
9474,43992,0.5
9548,72962,0.53125
9548,95043,0.546875
9609,21845,0.5
9609,29436,0.5
9609,100113,0.515625
9626,92859,0.515625
9670,95471,0.5
9671,78655,0.546875
9702,59032,0.5
9872,32305,0.5
9872,99233,0.5
9878,93216,0.515625
9984,31501,0.5
10084,29722,0.53125
10167,42559,0.5
10185,86626,0.5
10320,33259,0.515625
10440,96796,0.53125
